time,count
0,1
5,2
10,2
15,2
20,5
25,3
30,2
35,5
40,8
45,3
50,1
55,5
60,4
65,2
70,1
75,2
80,1
85,2
90,8
95,3
100,1
105,4
110,1
115,1
120,2
125,5
130,2
135,2
140,3
145,2
150,0
155,1
160,5
165,1
170,8
175,0
180,1
185,4
190,2
195,0
200,2
205,2
210,4
215,2
220,2
225,1
230,0
235,0
240,0
245,2
250,0
255,1
260,1
265,1
270,1
275,1
280,0
285,0
290,1
295,2
300,1
305,1
310,1
315,1
320,6
325,0
330,1
335,1
340,2
345,1
350,4
355,1
360,1
365,3
370,1
375,4
380,4
385,0
390,1
395,2
400,2
405,5
410,1
415,5
420,0
425,1
430,1
435,1
440,1
445,2
450,0
455,1
460,0
465,3
470,5
475,2
480,0
485,0
490,3
495,0
