time,count
0,56
5,64
10,55
15,49
20,50
25,49
30,78
35,41
40,37
45,62
50,56
55,65
60,53
65,47
70,54
75,46
80,56
85,79
90,71
95,50
100,43
105,38
110,42
115,32
120,30
125,21
130,29
135,21
140,41
145,42
150,25
155,25
160,15
165,15
170,21
175,25
180,24
185,17
190,23
195,26
200,39
205,40
210,46
215,28
220,35
225,45
230,41
235,37
240,31
245,33
250,41
255,16
260,15
265,22
270,16
275,6
280,17
285,19
290,10
295,23
300,24
305,22
310,31
315,32
320,30
325,21
330,26
335,21
340,17
345,19
350,26
355,28
360,18
365,27
370,24
375,26
380,30
385,15
390,14
395,19
400,20
405,27
410,20
415,26
420,10
425,12
430,25
435,19
440,16
445,20
450,28
455,40
460,40
465,33
470,18
475,15
480,13
485,10
490,15
495,17
500,25
505,24
510,19
515,22
520,22
525,13
530,17
535,9
540,14
545,15
550,18
555,11
560,27
565,20
570,21
575,17
580,13
585,14
590,15
595,17
600,19
605,30
610,21
615,34
620,32
625,18
630,24
635,20
640,27
645,19
650,19
655,20
660,22
665,22
670,17
675,11
680,13
685,18
690,12
695,11
700,11
705,15
710,16
715,15
720,18
725,20
730,24
735,25
740,27
745,18
750,13
755,11
760,5
765,8
770,12
775,11
780,20
785,19
790,8
795,11
800,11
805,11
810,14
815,11
820,18
825,15
830,12
835,17
840,10
845,12
850,16
855,18
860,30
865,18
870,15
875,17
880,8
885,18
890,20
895,17
900,14
905,15
910,10
915,7
920,13
925,5
930,9
935,10
940,7
945,7
950,0
955,9
960,9
965,19
970,5
975,13
980,8
985,16
990,20
995,10
1000,18
1005,12
1010,18
1015,20
1020,16
1025,10
1030,10
1035,24
1040,9
1045,7
1050,10
1055,9
1060,6
1065,14
1070,7
1075,3
1080,10
1085,8
1090,8
1095,5
1100,7
1105,8
1110,6
1115,5
1120,6
1125,4
1130,13
1135,13
1140,7
1145,8
1150,10
1155,14
1160,12
1165,7
1170,9
1175,12
1180,11
1185,12
1190,9
1195,7
1200,5
1205,9
1210,5
1215,7
1220,15
1225,10
1230,9
1235,8
1240,9
1245,8
1250,12
1255,12
1260,9
1265,7
1270,7
1275,8
1280,6
1285,6
1290,7
1295,5
1300,6
1305,2
1310,3
