time,count
0,23
5,17
10,36
15,27
20,31
25,19
30,16
35,16
40,13
45,16
50,8
55,13
60,8
65,17
70,15
75,13
80,18
85,13
90,11
95,12
100,11
105,6
110,8
115,18
120,15
125,12
130,15
135,24
140,27
145,18
150,10
155,15
160,25
165,22
170,13
175,14
180,12
185,15
190,15
195,20
200,14
205,14
210,17
215,16
220,8
225,20
230,8
235,10
240,12
245,9
250,7
255,6
260,10
265,11
270,8
275,18
280,13
285,16
290,13
295,11
300,9
305,21
310,7
315,12
320,11
325,7
330,6
335,8
340,12
345,4
350,11
355,6
360,13
365,8
370,7
375,7
380,9
385,7
390,4
395,7
400,8
405,8
410,7
415,10
420,12
425,9
430,6
435,13
440,9
445,4
450,11
455,10
460,11
465,5
470,12
475,8
480,6
485,6
490,5
495,11
500,10
505,14
510,12
515,10
520,8
525,12
530,9
535,11
540,12
545,4
550,12
555,10
560,4
565,6
570,7
575,9
580,13
585,12
590,17
595,19
600,17
605,8
610,11
615,12
620,8
625,6
630,6
635,2
640,7
645,11
650,3
655,9
660,6
665,7
670,16
675,9
680,9
685,3
690,6
695,5
700,6
705,2
710,3
715,8
720,5
725,8
730,3
735,4
740,3
745,1
750,9
755,12
760,10
765,15
770,7
775,6
780,9
785,10
790,6
795,6
800,5
805,4
810,4
815,10
820,9
825,8
830,10
835,7
840,6
845,6
850,6
855,6
860,10
865,11
870,12
875,4
880,7
885,5
890,8
895,6
900,8
905,7
910,4
915,6
920,6
925,9
930,8
935,9
940,9
945,10
950,2
955,7
960,2
965,3
