time,count
0,27
5,33
10,44
15,44
20,37
25,32
30,40
35,25
40,27
45,14
50,16
55,6
60,7
65,13
70,20
75,16
80,14
85,14
90,24
95,23
100,19
105,15
110,17
115,13
120,12
125,19
130,20
135,15
140,22
145,19
150,18
155,20
160,12
165,27
170,18
175,16
180,9
185,15
190,12
195,12
200,8
205,20
210,15
215,14
220,9
225,11
230,6
235,10
240,15
245,12
250,6
255,7
260,22
265,10
270,8
275,11
280,14
285,4
290,13
295,14
300,6
305,15
310,9
315,8
320,6
325,9
330,7
335,14
340,11
345,7
350,8
355,16
360,12
365,20
370,4
375,15
380,17
385,13
390,8
395,13
400,12
405,5
410,9
415,8
420,9
425,8
430,10
435,9
440,5
445,8
450,8
455,6
460,6
465,6
470,9
475,3
480,5
485,3
490,13
495,7
500,6
505,10
510,3
515,8
520,8
525,12
530,5
535,3
540,7
545,8
550,7
555,8
560,7
565,10
570,4
575,6
580,7
585,4
590,9
595,15
600,16
605,14
610,6
615,9
620,11
625,11
630,8
635,13
640,6
645,14
650,5
655,7
660,6
665,8
670,4
675,5
680,5
685,12
690,3
695,4
700,14
705,11
710,7
715,8
720,11
725,6
730,12
735,11
740,12
745,9
750,8
755,7
760,12
765,10
770,4
775,4
780,6
785,5
790,2
795,5
800,5
805,9
810,2
815,5
820,2
825,4
830,8
835,3
840,5
845,7
850,6
855,9
860,10
865,8
870,6
875,9
880,5
885,6
890,3
895,4
900,3
905,7
910,11
915,15
920,13
925,8
930,13
935,8
940,4
945,7
950,5
955,6
960,0
