time,count
0,3
5,10
10,10
15,13
20,4
25,4
30,8
35,8
40,5
45,1
50,5
55,0
60,3
65,2
70,4
75,1
80,1
85,3
90,3
95,6
100,4
105,4
110,5
115,1
120,4
125,2
130,2
135,3
140,3
145,2
150,4
155,1
160,2
165,3
170,0
175,2
180,5
185,1
190,3
195,1
200,1
205,7
210,2
215,5
220,6
225,6
230,4
235,7
240,3
245,1
250,2
255,7
260,4
265,2
270,7
275,7
280,5
285,2
290,4
295,4
300,4
305,4
310,8
315,3
320,3
325,4
330,7
335,8
340,7
345,7
350,3
355,2
360,5
365,6
370,4
375,3
380,4
385,2
390,2
395,3
400,4
405,5
410,4
415,5
420,4
425,2
430,2
435,5
440,3
445,3
450,2
455,5
460,7
465,1
470,3
475,4
480,8
485,4
490,6
495,5
500,3
505,3
510,4
515,7
520,4
525,4
530,3
535,4
540,4
545,1
550,5
555,1
560,4
565,7
570,2
575,2
580,4
585,1
590,6
595,4
600,5
605,3
610,2
615,9
620,3
625,4
630,4
635,3
640,7
645,4
650,5
655,1
660,3
665,5
670,5
675,3
680,7
685,5
690,4
695,6
700,4
705,8
710,5
715,7
720,4
725,9
730,2
735,7
740,3
745,5
750,6
755,3
760,4
765,3
770,1
775,1
780,4
785,6
790,3
795,3
800,1
805,4
810,1
815,2
820,6
825,1
830,1
835,3
840,3
845,5
850,2
855,2
860,0
865,6
870,1
875,2
880,2
885,4
890,2
895,4
900,6
905,2
910,1
915,4
920,2
925,3
930,3
935,1
940,4
945,4
950,5
955,4
960,3
965,5
970,3
975,5
980,2
985,4
990,5
995,4
1000,6
1005,2
1010,2
1015,5
1020,0
1025,4
1030,2
1035,4
1040,1
1045,0
1050,6
1055,2
1060,3
1065,2
1070,6
1075,4
1080,3
1085,7
1090,2
1095,2
1100,4
1105,1
1110,2
1115,3
1120,4
1125,5
1130,3
1135,0
1140,2
1145,0
1150,2
1155,0
1160,4
1165,3
1170,2
1175,4
1180,1
1185,1
1190,1
1195,0
