time,count
0,9
5,6
10,15
15,6
20,9
25,6
30,4
35,8
40,5
45,4
50,5
55,4
60,2
65,8
70,1
75,3
80,2
85,5
90,3
95,5
100,4
105,1
110,3
115,5
120,5
125,1
130,6
135,4
140,5
145,0
150,4
155,6
160,8
165,5
170,4
175,4
180,3
185,3
190,5
195,2
200,4
205,4
210,6
215,3
220,7
225,0
230,3
235,2
240,4
245,1
250,2
255,4
260,3
265,3
270,1
275,2
280,3
285,3
290,7
295,8
300,4
305,2
310,3
315,3
320,1
325,4
330,4
335,3
340,2
345,2
350,1
355,2
360,4
365,4
370,1
375,2
380,2
385,0
390,5
395,4
400,5
405,4
410,2
415,2
420,3
425,3
430,0
435,4
440,0
445,3
450,2
455,2
460,0
465,4
470,3
475,4
480,2
485,2
490,1
495,3
500,0
505,6
510,1
515,3
520,0
525,0
530,1
535,4
540,1
545,4
550,5
555,1
560,4
565,1
570,6
575,6
580,5
585,4
590,3
595,8
600,3
605,2
610,4
615,4
620,4
625,3
630,2
635,6
640,6
645,2
650,5
655,2
660,3
665,3
670,4
675,2
680,6
685,6
690,3
695,2
700,2
705,2
710,3
715,4
720,6
725,3
730,4
735,4
740,3
745,4
750,8
755,0
760,5
765,1
770,3
775,5
780,1
785,1
790,6
795,3
800,4
805,7
810,2
815,2
820,2
825,2
830,5
835,2
840,8
845,8
850,4
855,8
860,3
865,1
870,1
875,2
880,0
885,3
890,0
895,0
900,3
905,6
910,3
915,2
920,5
925,5
930,1
935,3
940,2
945,4
950,2
955,6
960,1
965,4
970,2
975,6
980,2
985,2
990,4
995,1
1000,4
1005,1
1010,2
1015,4
1020,4
1025,2
1030,6
1035,1
1040,5
1045,5
1050,4
1055,1
1060,2
1065,3
1070,4
1075,3
1080,2
1085,4
1090,3
1095,2
1100,3
1105,4
1110,4
1115,2
1120,7
1125,4
1130,3
1135,2
1140,2
1145,2
1150,3
1155,2
1160,2
1165,4
1170,2
1175,5
1180,1
1185,4
1190,4
1195,0
1200,0
1205,4
1210,0
1215,5
1220,3
1225,4
1230,4
1235,5
1240,3
1245,3
1250,2
1255,3
1260,2
1265,1
1270,1
1275,0
1280,2
1285,1
1290,4
1295,2
1300,3
1305,1
1310,3
1315,2
1320,0
1325,0
1330,2
1335,3
1340,4
1345,3
1350,2
1355,1
1360,1
1365,0
1370,0
1375,2
1380,0
