time,count
0,39
5,39
10,47
15,55
20,42
25,40
30,31
35,39
40,30
45,25
50,25
55,16
60,16
65,11
70,17
75,11
80,18
85,23
90,17
95,17
100,13
105,21
110,16
115,23
120,24
125,17
130,33
135,30
140,29
145,27
150,38
155,41
160,33
165,37
170,38
175,24
180,31
185,23
190,14
195,22
200,14
205,15
210,21
215,15
220,15
225,10
230,13
235,19
240,29
245,11
250,17
255,12
260,25
265,20
270,10
275,10
280,16
285,12
290,15
295,5
300,24
305,29
310,11
315,14
320,18
325,20
330,19
335,16
340,16
345,13
350,19
355,17
360,20
365,20
370,18
375,14
380,21
385,23
390,27
395,22
400,11
405,16
410,11
415,17
420,25
425,20
430,30
435,29
440,17
445,23
450,26
455,18
460,12
465,21
470,23
475,24
480,21
485,21
490,16
495,12
500,19
505,16
510,18
515,13
520,15
525,13
530,15
535,15
540,11
545,16
550,15
555,10
560,17
565,24
570,16
575,24
580,20
585,31
590,31
595,35
600,39
605,22
610,19
615,32
620,13
625,16
630,11
635,14
640,5
645,12
650,16
655,13
660,8
665,7
670,14
675,14
680,13
685,19
690,7
695,10
700,11
705,14
710,10
715,19
720,8
725,19
730,11
735,20
740,13
745,15
750,11
755,15
760,22
765,22
770,22
775,25
780,12
785,13
790,13
795,17
800,14
805,13
810,9
815,11
820,16
825,19
830,21
835,21
840,16
845,20
850,14
855,10
860,13
865,6
870,8
875,8
880,11
885,12
890,10
895,13
900,15
905,18
910,8
915,6
920,13
925,6
930,7
935,7
940,10
945,10
950,7
955,3
960,0
