time,count
0,56
5,56
10,38
15,52
20,55
25,52
30,50
35,36
40,36
45,36
50,34
55,27
60,41
65,36
70,42
75,30
80,29
85,28
90,25
95,34
100,32
105,23
110,27
115,19
120,39
125,21
130,33
135,32
140,33
145,24
150,44
155,47
160,61
165,77
170,82
175,62
180,60
185,57
190,49
195,47
200,40
205,43
210,40
215,39
220,42
225,33
230,26
235,24
240,36
245,28
250,31
255,42
260,41
265,24
270,25
275,27
280,25
285,21
290,30
295,37
300,24
305,36
310,28
315,25
320,29
325,31
330,30
335,28
340,34
345,18
350,24
355,25
360,24
365,25
370,26
375,27
380,30
385,23
390,15
395,35
400,17
405,24
410,21
415,13
420,21
425,24
430,22
435,12
440,15
445,12
450,42
455,15
460,25
465,33
470,32
475,32
480,17
485,23
490,28
495,36
500,27
505,44
510,47
515,25
520,40
525,29
530,31
535,50
540,34
545,24
550,45
555,31
560,29
565,22
570,28
575,37
580,24
585,29
590,31
595,21
600,20
605,21
610,24
615,19
620,21
625,22
630,31
635,21
640,27
645,22
650,19
655,26
660,17
665,12
670,13
675,16
680,13
685,14
690,18
695,11
700,20
705,25
710,13
715,14
720,20
725,15
730,22
735,14
740,18
745,17
750,14
755,22
760,14
765,22
770,19
775,21
780,18
785,22
790,21
795,21
800,16
805,16
810,24
815,14
820,11
825,16
830,21
835,12
840,13
845,17
850,11
855,12
860,17
865,14
870,21
875,19
880,24
885,24
890,30
895,36
900,30
905,15
910,15
915,10
920,11
925,15
930,22
935,28
940,13
945,27
950,28
955,33
960,20
965,35
970,16
975,22
980,24
985,23
990,15
995,18
1000,16
1005,15
1010,15
1015,14
1020,10
1025,19
1030,17
1035,17
1040,20
1045,18
1050,8
1055,17
1060,18
1065,16
1070,12
1075,14
1080,5
1085,6
1090,1
