time,count
0,19
5,20
10,12
15,17
20,11
25,15
30,16
35,9
40,11
45,9
50,11
55,9
60,10
65,11
70,4
75,12
80,7
85,14
90,5
95,10
100,7
105,13
110,18
115,9
120,5
125,6
130,6
135,2
140,5
145,2
150,5
155,13
160,3
165,6
170,8
175,8
180,2
185,10
190,6
195,12
200,4
205,5
210,9
215,8
220,9
225,9
230,2
235,6
240,9
245,8
250,4
255,8
260,13
265,6
270,11
275,11
280,11
285,16
290,18
295,10
300,12
305,12
310,8
315,12
320,8
325,8
330,6
335,4
340,6
345,6
350,4
355,10
360,2
365,8
370,13
375,5
380,14
385,16
390,8
395,16
400,11
405,12
410,8
415,12
420,6
425,12
430,9
435,6
440,14
445,12
450,13
455,8
460,6
465,11
470,11
475,19
480,10
485,12
490,5
495,5
500,4
505,5
510,1
515,4
520,7
525,4
530,2
535,2
540,5
545,4
550,6
555,2
560,3
565,3
570,6
575,8
580,5
585,6
590,1
595,6
600,0
605,4
610,6
615,2
620,5
625,4
630,9
635,7
640,3
645,5
650,8
655,2
660,5
665,6
670,4
675,2
680,3
685,2
690,3
695,4
700,7
705,2
710,5
715,6
720,2
725,2
730,5
735,6
740,6
745,8
750,4
755,6
760,5
765,6
770,2
775,2
780,4
785,7
790,3
795,4
800,1
805,1
810,1
815,5
820,9
825,1
830,2
835,1
840,4
845,2
850,7
855,3
860,4
865,2
870,2
875,3
880,2
885,4
890,5
895,5
900,3
905,0
910,2
915,3
920,1
925,5
930,1
935,3
940,3
945,6
950,8
955,2
960,7
965,10
970,3
975,4
980,1
985,3
990,4
995,3
1000,1
1005,4
1010,3
1015,3
1020,3
1025,6
1030,3
1035,2
1040,0
1045,5
1050,1
1055,2
1060,4
1065,5
1070,6
1075,4
1080,5
1085,3
1090,4
1095,11
1100,2
1105,9
1110,4
1115,8
1120,3
1125,9
1130,6
1135,4
1140,0
1145,3
1150,5
1155,10
1160,2
1165,4
1170,8
1175,7
1180,8
1185,2
1190,5
1195,8
1200,5
1205,1
1210,8
1215,5
1220,3
1225,0
1230,3
1235,0
1240,3
1245,3
1250,3
1255,4
1260,1
1265,4
1270,2
1275,2
1280,0
1285,2
1290,7
1295,3
1300,4
1305,3
1310,5
1315,4
1320,0
1325,3
