text,size
8,變為
8,threshold
8,12
6,上限
6,接近
7,linear
7,window
7,threshold
8,throughput
8,window
8,RTT
12,summary
12,TCP
12,congestion
12,sender
7,再來一個
7,state
7,linear
8,application
8,byte
8,上層
8,TCP
9,跟上來
9,上來
10,byte
10,TCP
13,給你
13,異常
13,切掉
13,劫機
14,control
14,少量
15,destination
15,ip
15,header
9,value
9,timeout
9,sample
9,RTT
10,是負
10,一乘
11,acknowledgement
11,byte
11,相對
11,timer
8,number
8,在建
8,sequence
9,三次
9,交握
9,建完
10,number
10,Three
10,client
10,way
8,幾分
8,ack
8,congestion
8,window
8,increament
9,滑動
9,提早
9,幫助
7,AIMD
7,好處
7,RTT
10,application
10,主機
10,FTP
10,檔案
11,buffer
11,receiver
11,resource
11,sender
12,application
12,number
12,Subtitles
12,mo
14,這章
8,timeout
8,ack
8,提早來
12,情境
12,TCP
8,congestion
8,window
8,數量
9,receiver
9,advertisement
9,congestion
9,window
9,TCP
9,sender
10,buffer
10,receiver
10,控制
11,rate
11,說好
11,transmission
11,算法
