time,count
0,25
5,34
10,32
15,35
20,29
25,34
30,31
35,20
40,31
45,17
50,28
55,10
60,16
65,18
70,15
75,14
80,12
85,17
90,11
95,7
100,19
105,13
110,14
115,20
120,11
125,10
130,10
135,8
140,17
145,12
150,8
155,16
160,16
165,10
170,12
175,18
180,11
185,9
190,15
195,4
200,9
205,11
210,16
215,10
220,21
225,17
230,11
235,11
240,9
245,13
250,9
255,10
260,15
265,10
270,8
275,14
280,13
285,7
290,12
295,8
300,6
305,10
310,19
315,14
320,16
325,11
330,11
335,9
340,10
345,13
350,16
355,10
360,17
365,27
370,19
375,30
380,14
385,17
390,8
395,11
400,8
405,10
410,6
415,18
420,12
425,8
430,10
435,13
440,8
445,15
450,8
455,5
460,14
465,9
470,13
475,13
480,15
485,21
490,7
495,8
500,6
505,5
510,9
515,8
520,15
525,14
530,6
535,13
540,12
545,11
550,10
555,11
560,9
565,10
570,6
575,9
580,9
585,3
590,16
595,7
600,12
605,15
610,15
615,10
620,12
625,12
630,13
635,10
640,9
645,13
650,19
655,13
660,8
665,8
670,12
675,4
680,8
685,7
690,7
695,6
700,16
705,2
710,9
715,8
720,9
725,7
730,10
735,6
740,8
745,11
750,8
755,11
760,11
765,8
770,7
775,7
780,9
785,9
790,3
795,5
800,5
805,3
810,7
815,9
820,9
825,10
830,2
835,8
840,6
845,11
850,11
855,11
860,9
865,5
870,10
875,8
880,8
885,6
890,5
895,6
900,8
905,4
910,6
915,3
920,5
925,6
930,9
935,9
940,3
945,6
950,5
955,10
960,7
965,8
970,4
975,5
980,6
985,10
990,4
995,5
1000,4
1005,10
1010,8
1015,8
1020,10
1025,6
1030,8
1035,9
1040,7
1045,19
1050,6
1055,5
1060,10
1065,6
1070,1
1075,5
1080,6
1085,5
1090,6
1095,7
1100,11
1105,5
1110,6
1115,8
1120,6
1125,6
1130,0
