time,count
0,20
5,36
10,32
15,40
20,35
25,42
30,21
35,20
40,16
45,13
50,26
55,9
60,10
65,27
70,11
75,7
80,12
85,9
90,19
95,16
100,18
105,14
110,10
115,8
120,15
125,12
130,10
135,6
140,10
145,10
150,15
155,3
160,11
165,14
170,10
175,12
180,10
185,14
190,6
195,14
200,11
205,11
210,16
215,11
220,11
225,12
230,15
235,7
240,12
245,10
250,8
255,8
260,8
265,15
270,14
275,14
280,5
285,18
290,3
295,9
300,8
305,10
310,9
315,13
320,9
325,9
330,8
335,16
340,12
345,17
350,23
355,6
360,15
365,10
370,12
375,7
380,5
385,15
390,10
395,11
400,8
405,12
410,8
415,7
420,22
425,11
430,18
435,10
440,23
445,19
450,34
455,28
460,29
465,36
470,24
475,16
480,14
485,16
490,22
495,25
500,22
505,31
510,28
515,25
520,9
525,17
530,12
535,15
540,15
545,16
550,17
555,16
560,13
565,16
570,11
575,17
580,15
585,12
590,21
595,10
600,15
605,29
610,18
615,20
620,18
625,16
630,17
635,29
640,13
645,18
650,11
655,18
660,22
665,21
670,22
675,23
680,24
685,25
690,17
695,29
700,28
705,31
710,24
715,27
720,25
725,18
730,13
735,13
740,8
745,19
750,18
755,5
760,9
765,1
770,3
775,8
780,6
785,9
790,5
795,6
800,8
805,3
810,9
815,9
820,8
825,10
830,10
835,5
840,9
845,10
850,4
855,5
860,2
865,4
870,4
875,4
880,5
885,5
890,3
895,7
900,4
905,3
910,12
915,7
920,10
925,7
930,9
935,6
940,6
945,6
950,3
955,8
960,8
965,9
970,7
975,10
980,4
985,5
990,8
995,7
1000,7
1005,11
1010,5
1015,6
1020,7
1025,12
1030,7
1035,3
1040,8
1045,6
1050,9
1055,8
1060,10
1065,11
1070,3
1075,7
1080,9
1085,6
1090,5
