userId,videoStartTime,videoEndTime,videoTotalTime,videoId,time
78914,166.649478,174.372857,325,25310,2016-05-01T13:39:29.850Z
78914,174.372857,206.825666,325,25310,2016-05-01T13:39:32.850Z
78914,206.825666,219.286368,325,25310,2016-05-01T13:39:35.850Z
78914,234.237933,251.898203,325,25310,2016-05-01T13:39:53.850Z
78914,251.898203,279.403325,325,25310,2016-05-01T13:39:56.850Z
78914,311.811041,319.650728,491,25312,2016-05-01T13:46:14.367Z
78914,319.650728,347.08756,491,25312,2016-05-01T13:46:17.368Z
78914,347.08756,449.362245,491,25312,2016-05-01T13:46:20.375Z
78914,449.362245,476.611117,491,25312,2016-05-01T13:46:23.366Z
78914,25.042979,57.429873,611,25313,2016-05-01T13:46:58.612Z
76508,27.410166,11.773397,362,25311,2016-04-26T02:14:56.707Z
76508,153.033522,139.27819,362,25311,2016-04-26T02:17:20.709Z
76508,139.27819,131.81294,362,25311,2016-04-26T02:17:23.728Z
76508,128.182981,120.672043,362,25311,2016-04-26T02:17:29.710Z
76508,120.672043,106.987419,362,25311,2016-04-26T02:17:32.710Z
76508,145.886316,137.821337,362,25311,2016-04-26T02:18:26.710Z
76508,5.674542,0.375208,491,25312,2016-04-26T02:25:27.217Z
76508,141.534542,71.351745,491,25312,2016-04-26T02:28:33.249Z
76508,350.254646,336.598166,372,25314,2016-04-26T03:10:20.465Z
76508,336.598166,328.826687,372,25314,2016-04-26T03:10:23.478Z
76508,205.675146,172.600424,238,25316,2016-04-26T03:37:33.789Z
76508,172.600424,132.022116,238,25316,2016-04-26T03:37:36.789Z
76508,132.022116,121.137417,238,25316,2016-04-26T03:37:39.804Z
76508,169.915063,141.398792,414,25317,2016-04-26T04:07:27.095Z
76508,141.398792,107.272374,414,25317,2016-04-26T04:07:30.094Z
76508,107.272374,94.036478,414,25317,2016-04-26T04:07:33.097Z
76508,94.036478,60.460688000000005,414,25317,2016-04-26T04:07:36.096Z
76508,60.460688000000005,46.949917,414,25317,2016-04-26T04:07:39.097Z
76508,122.730167,99.022565,414,25317,2016-04-26T04:09:03.097Z
76508,334.415,306.000442,617,25318,2016-04-26T04:25:35.274Z
76508,306.000442,283.844409,617,25318,2016-04-26T04:25:38.289Z
76508,283.844409,271.96979,617,25318,2016-04-26T04:25:41.274Z
76508,434.229873,364.582193,617,25318,2016-04-26T04:28:26.276Z
76508,364.582193,347.134156,617,25318,2016-04-26T04:28:29.297Z
76508,443.134219,399.314603,617,25318,2016-04-26T04:30:08.278Z
76508,85.414688,61.675021,405,25362,2016-05-04T15:04:12.084Z
76508,140.350104,126.91564600000001,405,25362,2016-05-04T15:05:39.078Z
76508,10.175104,1.155125,520,25368,2016-05-04T16:48:26.780Z
76508,227.295624,218.923265,505,27686,2016-05-16T11:33:18.633Z
76508,385.581,363.882924,386,25369,2016-05-16T11:46:00.134Z
76508,363.882924,345.9180838414634,386,25369,2016-05-16T11:46:03.133Z
76508,178.898027,170.311587,572,25370,2016-05-16T11:56:25.785Z
76508,170.311587,146.594081,572,25370,2016-05-16T11:56:28.773Z
76508,146.594081,133.158504,572,25370,2016-05-16T11:56:31.776Z
76508,132.77195,125.441564,833,25371,2016-05-16T14:41:18.951Z
76508,125.441564,101.09975,833,25371,2016-05-16T14:41:21.965Z
76508,101.09975,82.95127,833,25371,2016-05-16T14:41:24.947Z
76508,444.08712,426.7193,833,25371,2016-05-16T15:38:18.948Z
18556,72.919875,105.529142,362,25311,2016-05-26T08:25:08.043Z
32102,86.259322,21.376412,238,25316,2016-05-01T13:49:15.895Z
32102,21.376412,12.990347,238,25316,2016-05-01T13:49:18.580Z
32102,0,436.109803,617,25318,2016-05-01T14:14:25.720Z
32102,437.452242,306.285809,617,25318,2016-05-01T14:14:34.299Z
75672,242.678104,269.463738,406,25345,2016-05-17T08:23:26.287Z
75672,269.463738,351.072028,406,25345,2016-05-17T08:23:29.288Z
75672,351.072028,379.435076,406,25345,2016-05-17T08:23:32.349Z
75672,379.435076,401.154548,406,25345,2016-05-17T08:23:35.288Z
36676,1.658,88.993634,213,25181,2016-04-26T14:45:02.880Z
36676,91.994634,204.669982,213,25181,2016-04-26T14:45:08.880Z
36676,204.669982,192.867968,213,25181,2016-04-26T14:45:11.896Z
36676,192.867968,34.518967,213,25181,2016-04-26T14:45:14.880Z
36676,7.918,161.234732,213,25181,2016-05-01T06:35:23.527Z
36676,161.234732,3.010865,213,25181,2016-05-01T06:35:26.538Z
36676,6.011865,11.89976,213,25181,2016-05-01T06:35:32.547Z
36676,212.39976,0,213,25181,2016-05-01T06:38:56.557Z
36676,0,134.247227,213,25181,2016-05-01T06:38:59.524Z
36676,10.417917,178.674636,325,25310,2016-05-21T08:40:20.001Z
36676,178.674636,272.60042,325,25310,2016-05-21T08:40:23.037Z
36676,278.360566,11.174369,325,25310,2016-05-21T08:40:32.046Z
36676,266.381745,202.741303,491,25312,2016-05-21T08:53:41.549Z
36676,202.741303,146.030494,491,25312,2016-05-21T08:53:44.567Z
36676,553.322813,541.243229,611,25313,2016-05-21T09:06:23.711Z
36676,541.243229,498.483983,611,25313,2016-05-21T09:06:26.712Z
78859,4.179,44.297721,213,25181,2016-05-02T00:04:55.860Z
78859,44.297721,85.199762,213,25181,2016-05-02T00:04:58.863Z
78859,85.199762,107.226104,213,25181,2016-05-02T00:05:01.862Z
78859,107.226104,122.19450592490229,213,25181,2016-05-02T00:05:04.861Z
78859,20.177,11.20845,325,25310,2016-05-02T00:08:41.297Z
78859,20.52645,7.358473,325,25310,2016-05-02T00:12:11.268Z
78859,19.538473,1.405697,325,25310,2016-05-02T00:12:47.307Z
78859,1.405697,14.009237,325,25310,2016-05-02T00:12:50.270Z
78859,201.077,195.646502,491,25312,2016-05-02T00:55:49.253Z
