userId,videoStartTime,videoEndTime,videoTotalTime,videoId,time
6,165.941999,207.526077,362,25311,2016-03-24T09:54:12.561Z
6,213.526077,238.971577,362,25311,2016-03-24T09:54:21.562Z
6,361.561,329.603318,362,25311,2016-03-24T09:57:30.627Z
6,329.603318,343.958948,362,25311,2016-03-24T09:57:33.568Z
6,343.958948,353.702974,362,25311,2016-03-24T09:57:36.595Z
6,14.9945,78.554218,137,25310,2016-03-27T12:49:26.279Z
6,78.554218,87.533908,137,25310,2016-03-27T12:49:29.277Z
6,87.533908,98.590862,137,25310,2016-03-27T12:49:32.278Z
6,98.590862,126.78678160919539,137,25310,2016-03-27T12:49:35.336Z
6,4.662,121.356114,137,25310,2016-04-19T13:35:54.201Z
6,3.66,305.7711278735632,325,25310,2016-04-19T13:38:46.395Z
6,27.921,33.26,776,25319,2016-04-19T13:41:19.470Z
6,56.941,62.161,776,25319,2016-04-19T13:41:48.712Z
6,9.780771,0.8205,325,25310,2016-04-22T14:23:44.225Z
75703,228.681,206.254776,325,25310,2016-04-24T23:58:25.562Z
75703,206.254776,197.282308,325,25310,2016-04-24T23:58:28.564Z
75703,197.282308,169.390953,325,25310,2016-04-24T23:58:31.563Z
75703,169.390953,136.456933,325,25310,2016-04-24T23:58:34.562Z
74966,0,96.74137931034483,362,25311,2016-04-24T23:59:19.081Z
74966,96.74137931034483,181.52011494252872,362,25311,2016-04-24T23:59:22.057Z
72491,271.699499,259.286999,325,25310,2016-04-25T00:13:48.973Z
72491,259.286999,236.392999,325,25310,2016-04-25T00:13:51.972Z
72491,236.392999,223.761499,325,25310,2016-04-25T00:13:54.974Z
72491,222.127499,210.046499,325,25310,2016-04-25T00:14:00.977Z
74966,250.069333,240.420481,325,25310,2016-04-25T00:15:18.554Z
72491,136.583,127.399,362,25311,2016-04-25T00:17:19.918Z
72491,127.399,115.3255,362,25311,2016-04-25T00:17:22.920Z
72491,256.486,224.394603,362,25311,2016-04-25T00:19:38.064Z
37274,0,73.92557586206897,213,25181,2016-04-25T00:19:46.438Z
72491,216.94582,209.031487,362,25311,2016-04-25T00:19:47.079Z
72491,215.781947,223.929054,362,25311,2016-04-25T00:19:53.080Z
72491,223.929054,242.318238,362,25311,2016-04-25T00:20:02.084Z
72491,245.036238,232.584738,362,25311,2016-04-25T00:20:20.087Z
72491,232.584738,240.451238,362,25311,2016-04-25T00:20:23.033Z
76567,172.415,274.011793,325,25310,2016-04-25T00:20:58.554Z
76567,274.011793,314.270856,325,25310,2016-04-25T00:21:01.569Z
76583,7.436145,18.388846,213,25181,2016-04-25T00:29:06.715Z
76583,18.388846,25.354639,213,25181,2016-04-25T00:29:09.715Z
74940,18.171771,1.904245,325,25310,2016-04-25T00:32:40.486Z
32651,25.421188,30.800833,617,25318,2016-04-25T00:35:41.055Z
66338,194.56,204.321425,213,25181,2016-04-25T00:37:10.987Z
10188,0.179,8.88187,325,25310,2016-04-25T00:38:27.724Z
10188,8.88187,3.513652,325,25310,2016-04-25T00:38:30.745Z
74940,96.187494,116.089912,325,25310,2016-04-25T00:39:43.554Z
74940,116.089912,41.215943,325,25310,2016-04-25T00:39:49.418Z
74940,41.215943,74.574786,325,25310,2016-04-25T00:39:52.408Z
74940,2.769009,33.351719,325,25310,2016-04-25T00:40:13.127Z
74940,33.351719,63.141742,325,25310,2016-04-25T00:40:15.975Z
74940,63.141742,106.516074,325,25310,2016-04-25T00:40:36.967Z
65663,39.8198836,26.3142508,611,25313,2016-04-25T00:43:59.758Z
66338,2.72625,52.944155,362,25311,2016-04-25T00:47:43.348Z
72491,196.679499,188.546999,491,25312,2016-04-25T00:52:07.403Z
65663,485.6766822,457.4372824,611,25313,2016-04-25T00:53:11.729Z
72491,338.125499,309.980471,491,25312,2016-04-25T00:53:55.464Z
76416,156.948234,167.055951,213,25181,2016-04-25T00:54:53.986Z
72491,438.108471,424.783971,491,25312,2016-04-25T00:55:37.546Z
72491,410.296471,397.973971,491,25312,2016-04-25T00:56:01.540Z
72491,490.101,3.018,491,25312,2016-04-25T00:59:34.697Z
65663,0,539.4362528,611,25313,2016-04-25T01:02:35.776Z
65663,551.4509296,506.8019157,611,25313,2016-04-25T01:02:50.716Z
