time,count
0,2
5,2
10,8
15,5
20,2
25,7
30,2
35,4
40,1
45,3
50,3
55,2
60,2
65,3
70,3
75,0
80,1
85,4
90,0
95,0
100,2
105,2
110,1
115,4
120,1
125,3
130,2
135,2
140,1
145,1
150,1
155,1
160,2
165,3
170,3
175,1
180,1
185,1
190,2
195,1
200,6
205,2
210,7
215,3
220,3
225,1
230,2
235,1
240,4
245,3
250,1
255,3
260,3
265,4
270,2
275,6
280,4
285,4
290,0
295,7
300,4
305,5
310,4
315,6
320,2
325,12
330,4
335,6
340,8
345,4
350,2
355,7
360,0
365,5
370,1
375,2
380,1
385,3
390,5
395,5
400,2
405,3
410,4
415,7
420,3
425,6
430,0
435,2
440,2
445,0
450,3
455,4
460,3
465,4
470,2
475,3
480,3
485,4
490,2
495,1
500,0
505,4
510,1
515,4
520,1
525,5
530,1
535,3
540,1
545,0
550,1
555,4
560,1
565,1
570,2
575,2
580,1
585,2
590,0
595,6
600,1
605,1
610,2
615,1
620,2
625,3
630,2
635,1
640,3
645,2
650,2
655,3
660,0
665,0
670,3
675,3
680,6
685,5
690,1
695,2
700,3
705,2
710,1
715,3
720,2
725,1
730,2
735,2
740,1
745,0
750,3
755,0
760,2
765,3
770,2
775,1
780,3
785,1
790,3
795,3
800,3
805,4
810,3
815,3
820,2
825,2
830,3
835,1
840,1
845,2
850,1
855,3
860,3
865,4
870,1
875,2
880,1
885,2
890,5
895,1
900,4
905,0
910,2
915,3
920,3
925,2
930,4
935,1
940,3
945,0
950,2
955,3
960,1
965,0
970,3
975,1
980,4
985,0
990,3
995,0
1000,0
