time,count
0,16
5,15
10,11
15,29
20,14
25,21
30,18
35,15
40,15
45,9
50,13
55,8
60,7
65,8
70,9
75,10
80,13
85,9
90,14
95,10
100,12
105,6
110,8
115,11
120,11
125,10
130,16
135,10
140,9
145,4
150,8
155,5
160,9
165,10
170,12
175,9
180,16
185,10
190,8
195,8
200,12
205,11
210,7
215,15
220,22
225,21
230,19
235,6
240,8
245,13
250,7
255,9
260,15
265,9
270,17
275,6
280,9
285,10
290,6
295,13
300,12
305,9
310,8
315,21
320,8
325,9
330,13
335,6
340,11
345,5
350,3
355,1
360,0
365,2
370,5
375,4
380,4
385,2
390,2
395,3
400,5
405,0
410,3
415,4
420,4
425,2
430,1
435,5
440,3
445,3
450,6
455,4
460,5
465,2
470,3
475,5
480,6
485,1
490,12
495,7
500,4
505,2
510,6
515,5
520,4
525,6
530,5
535,6
540,3
545,6
550,2
555,2
560,3
565,6
570,5
575,5
580,1
585,0
590,2
595,4
600,3
605,3
610,4
615,3
620,3
625,2
630,2
635,5
640,3
645,7
650,6
655,3
660,4
665,9
670,6
675,5
680,3
685,5
690,4
695,3
700,4
705,3
710,7
715,2
720,3
725,9
730,8
735,6
740,5
745,4
750,1
755,2
760,2
765,5
770,5
775,0
780,2
785,4
790,1
795,3
800,3
805,0
810,2
815,3
820,1
825,3
830,3
835,5
840,4
845,2
850,6
855,3
860,4
865,5
870,3
875,5
880,3
885,4
890,10
895,9
900,5
905,6
910,3
915,3
920,6
925,2
930,0
