time,count
0,34
5,40
10,23
15,30
20,18
25,17
30,29
35,18
40,9
45,16
50,14
55,13
60,11
65,9
70,14
75,7
80,15
85,19
90,19
95,12
100,11
105,11
110,7
115,8
120,11
125,12
130,8
135,6
140,6
145,8
150,5
155,6
160,12
165,16
170,6
175,6
180,5
185,12
190,8
195,9
200,9
205,6
210,5
215,10
220,10
225,7
230,3
235,10
240,3
245,8
250,2
255,6
260,4
265,11
270,5
275,5
280,7
285,13
290,11
295,11
300,10
305,10
310,1
315,4
320,11
325,8
330,6
335,6
340,9
345,17
350,7
355,14
360,10
365,11
370,11
375,12
380,8
385,5
390,10
395,11
400,5
405,5
410,4
415,6
420,7
425,13
430,5
435,7
440,8
445,4
450,8
455,6
460,5
465,9
470,4
475,3
480,2
485,12
490,12
495,5
500,10
505,5
510,8
515,3
520,9
525,8
530,11
535,7
540,14
545,8
550,17
555,9
560,3
565,3
570,6
575,7
580,11
585,9
590,11
595,10
600,4
605,12
610,8
615,4
620,10
625,5
630,5
635,3
640,6
645,8
650,8
655,10
660,11
665,8
670,8
675,7
680,14
685,14
690,15
695,7
700,14
705,14
710,9
715,8
720,11
725,7
730,6
735,5
740,2
745,7
750,4
755,4
760,5
765,2
770,8
775,4
780,5
785,4
790,3
795,5
800,5
805,6
810,6
815,3
820,6
825,5
830,4
835,7
840,12
845,8
850,10
855,8
860,6
865,8
870,3
875,5
880,4
885,2
890,2
895,7
900,6
905,2
910,1
915,2
920,6
925,7
930,3
935,8
940,3
945,6
950,6
955,9
960,7
965,3
970,8
975,8
980,4
985,4
990,6
995,2
1000,1
1005,2
1010,6
1015,6
1020,7
1025,6
1030,5
1035,7
1040,3
1045,4
1050,10
1055,4
1060,10
1065,5
1070,3
1075,6
1080,6
1085,3
1090,5
1095,4
1100,4
1105,5
1110,11
1115,8
1120,5
1125,1
1130,6
1135,2
1140,4
