time,count
0,23
5,31
10,26
15,41
20,25
25,38
30,22
35,37
40,21
45,27
50,15
55,27
60,37
65,30
70,32
75,22
80,34
85,36
90,38
95,31
100,37
105,48
110,50
115,50
120,33
125,38
130,26
135,44
140,30
145,40
150,32
155,27
160,21
165,18
170,16
175,20
180,24
185,17
190,22
195,14
200,21
205,20
210,24
215,21
220,20
225,19
230,17
235,20
240,21
245,19
250,14
255,7
260,12
265,12
270,15
275,12
280,10
285,24
290,14
295,16
300,8
305,12
310,17
315,13
320,16
325,20
330,15
335,14
340,16
345,14
350,17
355,19
360,17
365,23
370,21
375,14
380,15
385,23
390,33
395,16
400,21
405,34
410,21
415,16
420,13
425,28
430,31
435,23
440,17
445,16
450,17
455,20
460,16
465,30
470,30
475,40
480,21
485,21
490,24
495,30
500,19
505,21
510,27
515,29
520,39
525,31
530,26
535,36
540,21
545,23
550,11
555,18
560,29
565,23
570,11
575,16
580,16
585,26
590,19
595,19
600,20
605,29
610,21
615,23
620,20
625,19
630,22
635,16
640,20
645,12
650,14
655,25
660,14
665,17
670,13
675,7
680,9
685,18
690,15
695,14
700,19
705,10
710,11
715,17
720,14
725,10
730,8
735,11
740,13
745,10
750,7
755,5
760,12
765,11
770,12
775,7
780,14
785,12
790,15
795,13
800,19
805,15
810,17
815,15
820,20
825,17
830,9
835,9
840,5
845,10
850,15
855,18
860,21
865,13
870,29
875,20
880,15
885,8
890,10
895,7
900,7
905,11
910,7
915,10
920,7
925,15
930,11
935,12
940,11
945,11
950,15
955,11
960,8
965,14
970,11
975,14
980,7
985,9
990,11
995,5
1000,9
1005,8
1010,9
1015,9
1020,5
1025,9
1030,8
1035,9
1040,5
1045,9
1050,12
1055,5
1060,6
1065,5
1070,3
1075,8
1080,1
