time,count
0,38
5,39
10,32
15,35
20,29
25,28
30,24
35,24
40,26
45,18
50,12
55,21
60,14
65,19
70,23
75,17
80,20
85,15
90,18
95,15
100,19
105,18
110,30
115,27
120,17
125,21
130,18
135,27
140,21
145,19
150,26
155,26
160,13
165,15
170,14
175,13
180,15
185,8
190,8
195,15
200,9
205,9
210,16
215,8
220,11
225,9
230,12
235,5
240,12
245,16
250,15
255,12
260,9
265,16
270,16
275,10
280,12
285,9
290,16
295,14
300,13
305,19
310,12
315,8
320,11
325,7
330,10
335,7
340,9
345,10
350,14
355,14
360,11
365,8
370,14
375,16
380,16
385,13
390,12
395,12
400,9
405,8
410,13
415,22
420,11
425,14
430,18
435,15
440,10
445,17
450,13
455,13
460,14
465,20
470,13
475,11
480,9
485,17
490,11
495,14
500,14
505,15
510,20
515,12
520,11
525,15
530,14
535,15
540,13
545,21
550,15
555,15
560,13
565,6
570,11
575,11
580,10
585,11
590,9
595,10
600,8
605,16
610,13
615,10
620,11
625,5
630,7
635,7
640,9
645,6
650,4
655,8
660,9
665,12
670,13
675,7
680,19
685,16
690,15
695,21
700,16
705,15
710,13
715,13
720,10
725,12
730,13
735,11
740,11
745,23
750,11
755,13
760,9
765,12
770,18
775,9
780,5
785,6
790,12
795,5
800,2
805,8
810,6
815,0
820,9
825,7
830,6
835,9
840,7
845,7
850,11
855,10
860,9
865,16
870,11
875,14
880,9
885,10
890,7
895,11
900,12
905,7
910,8
915,10
920,9
925,10
930,9
935,13
940,5
945,8
950,7
955,5
960,6
965,7
970,6
975,12
980,9
985,8
990,6
995,8
1000,7
1005,3
1010,2
1015,5
