time,count
0,15
5,17
10,18
15,28
20,27
25,34
30,28
35,21
40,11
45,10
50,18
55,13
60,10
65,6
70,11
75,7
80,12
85,10
90,12
95,10
100,12
105,10
110,4
115,8
120,7
125,10
130,10
135,23
140,10
145,18
150,8
155,12
160,12
165,15
170,4
175,13
180,13
185,9
190,9
195,14
200,13
205,12
210,12
215,15
220,6
225,6
230,11
235,3
240,9
245,7
250,4
255,8
260,10
265,5
270,9
275,9
280,6
285,12
290,3
295,10
300,11
305,13
310,13
315,8
320,9
325,8
330,13
335,10
340,7
345,5
350,8
355,3
360,8
365,7
370,10
375,12
380,4
385,5
390,6
395,7
400,7
405,5
410,11
415,10
420,10
425,4
430,10
435,12
440,7
445,7
450,5
455,3
460,5
465,3
470,4
475,7
480,7
485,2
490,6
495,2
500,6
505,7
510,6
515,4
520,8
525,8
530,2
535,7
540,7
545,6
550,5
555,8
560,6
565,6
570,6
575,3
580,3
585,2
590,7
595,5
600,3
605,1
610,5
615,8
620,11
625,4
630,5
635,3
640,0
