time,count
0,28
5,41
10,27
15,40
20,39
25,35
30,29
35,28
40,50
45,40
50,30
55,31
60,27
65,29
70,22
75,33
80,37
85,10
90,21
95,13
100,18
105,6
110,14
115,21
120,10
125,9
130,17
135,11
140,20
145,14
150,10
155,14
160,17
165,9
170,18
175,11
180,12
185,18
190,14
195,16
200,16
205,27
210,17
215,19
220,12
225,11
230,11
235,14
240,17
245,18
250,15
255,16
260,11
265,14
270,20
275,10
280,6
285,15
290,13
295,11
300,12
305,18
310,9
315,22
320,7
325,7
330,15
335,6
340,17
345,9
350,14
355,20
360,26
365,20
370,13
375,28
380,17
385,18
390,13
395,11
400,18
405,18
410,10
415,18
420,21
425,4
430,11
435,12
440,10
445,9
450,10
455,9
460,11
465,15
470,6
475,15
480,10
485,6
490,14
495,12
500,13
505,9
510,15
515,13
520,15
525,10
530,14
535,15
540,15
545,15
550,15
555,22
560,11
565,12
570,12
575,14
580,13
585,17
590,14
595,22
600,26
605,28
610,12
615,17
620,11
625,13
630,13
635,15
640,16
645,18
650,12
655,14
660,18
665,20
670,17
675,12
680,17
685,13
690,8
695,9
700,10
705,9
710,7
715,5
720,5
725,14
730,8
735,5
740,4
745,10
750,11
755,10
760,10
765,13
770,12
775,7
780,7
785,10
790,4
795,5
800,11
805,13
810,6
815,9
820,7
825,13
830,10
835,13
840,7
845,9
850,6
855,12
860,9
865,9
870,7
875,12
880,18
885,8
890,7
895,8
900,11
905,6
910,11
915,5
920,9
925,13
930,15
935,12
940,16
945,11
950,11
955,7
960,12
965,18
970,11
975,13
980,9
985,18
990,15
995,13
1000,16
1005,11
1010,9
1015,10
1020,4
1025,8
1030,16
1035,11
1040,8
1045,14
1050,14
1055,8
1060,17
1065,11
1070,14
1075,18
1080,9
1085,13
1090,18
1095,8
1100,13
1105,7
1110,10
1115,16
1120,13
1125,18
1130,9
1135,21
1140,12
1145,19
1150,32
1155,16
1160,21
1165,29
1170,20
1175,26
1180,12
1185,10
1190,9
1195,11
1200,6
1205,5
1210,8
1215,12
1220,8
1225,19
1230,5
1235,6
1240,5
1245,10
1250,2
1255,5
1260,2
1265,1
